Type,Area,Perimeter,Eccentricity,Extent,Solidity,BLue,Green,Red,Point Polygon Test
rice,1271.5,160.8944422006607,0.9398263562400355,0.46169208424110386,0.9661854103343465,68,85,87,7.810249675906654
rice,1395.0,189.13708221912384,0.9671321768671768,0.41333333333333333,0.9594222833562586,61,81,84,-1.4142135623730951
rice,1273.0,166.30865621566772,0.9541364766894019,0.43655692729766804,0.9654910883579826,72,95,95,9.192388155425117
rice,1625.0,201.05382251739502,0.9598412838475164,0.6998277347114557,0.9500146156094709,66,90,93,-7.0
rice,1320.0,177.33809351921082,0.9553464964082549,0.4796511627906977,0.9431939978563773,41,58,60,2.0
rice,1509.5,187.2964630126953,0.950069510507392,0.6126217532467533,0.9493710691823899,64,84,87,-5.0
rice,1409.5,197.58073389530182,0.9568906893466538,0.5575553797468354,0.9200391644908616,49,69,72,-3.1622776601683795
rice,1506.0,187.13708305358887,0.9489936354458085,0.44398584905660377,0.9380255372158206,58,75,76,2.8284271247461903
rice,1700.0,214.50966620445251,0.9604670725648449,0.7346585998271391,0.9454949944382648,60,83,87,-5.830951894845301
rice,1232.5,176.89444160461426,0.956058036014281,0.40757275132275134,0.956167571761055,55,74,79,2.8284271247461903
rice,1502.0,213.1959581375122,0.9744471388239883,0.604669887278583,0.9355341015260044,48,67,69,-6.0
rice,1707.0,209.8233746290207,0.9682893977789936,0.4501582278481013,0.9488604780433574,41,57,57,4.47213595499958
rice,1499.0,187.62236535549164,0.9548130103507262,0.4285305889079474,0.9472353870458136,62,82,85,2.1213203435596424
rice,1360.5,188.12489008903503,0.9641568746071923,0.5740506329113924,0.9428274428274428,60,85,89,-6.082762530298219
rice,1245.5,184.95331752300262,0.9522999261649131,0.6653311965811965,0.9124542124542124,54,84,89,-8.54400374531753
rice,1635.0,198.65180122852325,0.9497177980758892,0.4666095890410959,0.9450867052023122,43,60,61,6.4031242374328485
rice,1386.0,185.76449966430664,0.9520025720848799,0.39152542372881355,0.9604989604989606,59,80,83,7.0710678118654755
rice,1539.5,202.1248903274536,0.9638853910660122,0.6172814755412991,0.9372907153729072,61,86,88,-6.0
rice,1792.0,211.1370825767517,0.9593007058505288,0.45714285714285713,0.9613733905579399,63,83,85,5.385164807134504
rice,1742.0,201.76450085639954,0.9557273583971755,0.4071996259934549,0.9667036625971143,57,80,83,10.816653826391969
rice,1358.5,172.55129635334015,0.9547050578743072,0.43374840357598976,0.9513305322128851,36,50,50,6.363961030678928
rice,1512.0,198.36753070354462,0.968290238416005,0.70064874884152,0.9467752035065748,58,82,85,-6.082762530298219
rice,1424.0,194.85281217098236,0.9588102428011983,0.5462217107786728,0.9298073783872021,66,89,92,-7.0
rice,1129.0,160.02438461780548,0.9502592007795915,0.4646090534979424,0.9439799331103679,41,54,53,2.8284271247461903
rice,1476.0,201.0538226366043,0.9705149425766366,0.7068965517241379,0.9467607440667094,60,83,85,-9.0
rice,1231.5,174.61017155647278,0.9594104481375635,0.5331168831168831,0.9465795541890853,42,58,58,-4.0
rice,1569.0,195.33809351921082,0.9606681813154605,0.4952651515151515,0.9509090909090909,70,89,90,3.0
rice,1317.5,190.8111822605133,0.9702952246626956,0.6613955823293173,0.9444444444444444,65,89,92,-12.0
rice,1565.0,197.39696872234344,0.9640939645806423,0.7671568627450981,0.95397744590064,66,89,91,-9.0
rice,1489.0,205.68123936653137,0.9600721440227732,0.557052001496446,0.9297533562285357,69,90,93,-8.0
rice,1657.0,207.48022854328156,0.9618278522262498,0.44471282877079976,0.9495702005730658,57,81,83,-1.4142135623730951
