Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,Red,Green,Blue,Point Polygon Test
pearl_millet,278.0,315.4629835,0.701713245,0.62512273,0.939760148,107.0,95.0,62.0,24.59674775
sorghum,334.0,505.771639,0.4177043,0.736618035,0.9771781490000001,119.0,99.0,60.0,15.8113883
pearl_millet,488.0,255.0572861,0.7967937390000001,0.657531173,0.890938377,90.0,96.0,72.0,16.48037609
sorghum,378.0,507.87214460000007,0.590898328,0.711838162,0.971107325,121.0,100.0,56.0,18.35755975
sorghum,121.0,452.9604567,0.493003425,0.773047563,0.979939707,138.0,110.0,53.0,23.43074903
pearl_millet,18.0,303.3208482,0.846285513,0.65637278,0.9311113590000001,98.0,81.0,47.0,24.69817807
pearl_millet,204.0,315.07820810000004,0.7050817109999999,0.7163910859999999,0.972669595,108.0,91.0,43.0,25.49509757
sorghum,247.0,410.2325356,0.381458132,0.7409073,0.981177187,123.0,104.0,56.0,12.02081528
sorghum,347.0,414.67618680000004,0.38784203100000003,0.7689065209999999,0.963891623,114.0,93.0,56.0,23.53720459
pearl_millet,361.0,554.4995604,0.789852323,0.559560996,0.7691325790000001,104.0,86.0,46.0,-1.0
sorghum,388.0,471.8305143,0.34908878299999996,0.729174792,0.968975603,140.0,115.0,64.0,14.422205100000001
sorghum,163.0,467.4873683,0.27880341399999997,0.724333333,0.964141659,116.0,95.0,55.0,9.433981132000001
sorghum,59.0,432.85995230000003,0.245793295,0.736693343,0.975278537,124.0,101.0,53.0,10.60660172
pearl_millet,179.0,332.97770249999996,0.90517656,0.634329468,0.9208935890000001,110.0,94.0,54.0,9.219544457000001
sorghum,223.0,492.7594467,0.49109511899999997,0.7557251909999999,0.976012775,137.0,109.0,60.0,14.14213562
pearl_millet,153.0,331.5634885,0.44309569299999996,0.718255929,0.946914183,110.0,89.0,45.0,15.55634919
sorghum,385.0,464.0731546,0.493606007,0.71468099,0.97715303,119.0,99.0,57.0,8.485281374
sorghum,297.0,470.4751766,0.503710866,0.764140398,0.978143445,125.0,104.0,58.0,16.76305461
sorghum,138.0,495.24472879999996,0.42131015299999997,0.7427563620000001,0.976320583,125.0,102.0,57.0,15.55634919
sorghum,111.0,446.3746705,0.321921518,0.741586108,0.979160101,115.0,95.0,54.0,14.422205100000001
pearl_millet,480.0,517.575918,0.258308949,0.76180898,0.956945052,91.0,91.0,73.0,-29.8040907
pearl_millet,330.0,320.53405089999995,0.844116593,0.602728943,0.92295329,111.0,92.0,50.0,11.40175425
sorghum,248.0,531.144222,0.48872454200000004,0.73730762,0.966181941,155.0,131.0,81.0,9.899494937
sorghum,129.0,536.9432119,0.194614583,0.745795938,0.965008251,115.0,95.0,55.0,11.70469991
pearl_millet,13.0,391.0609624,0.7838709859999999,0.582568807,0.85292721,113.0,93.0,54.0,-2.236067977
pearl_millet,12.0,370.19090550000004,0.7881206709999999,0.677370722,0.8707364340000001,131.0,114.0,64.0,22.36067977
pearl_millet,176.0,434.6761864,0.9287295640000001,0.566981046,0.85560315,102.0,85.0,53.0,3.16227766
pearl_millet,262.0,338.19090570000003,0.731243732,0.6957472990000001,0.939612188,108.0,96.0,61.0,16.97056275
pearl_millet,84.0,701.3696183999999,0.38052720700000003,0.534261086,0.774161109,109.0,93.0,57.0,-0.7071067809999999
pearl_millet,42.0,333.9066348,0.724486862,0.7373737370000001,0.9514424220000001,110.0,91.0,45.0,18.35755975
sorghum,422.0,472.374671,0.211616671,0.734857724,0.957114494,102.0,82.0,46.0,23.32380758
sorghum,217.0,589.327988,0.367419619,0.705430201,0.901124426,98.0,77.0,36.0,18.38477631
pearl_millet,23.0,380.67618660000005,0.73334032,0.68144407,0.9633743220000001,105.0,88.0,48.0,21.40093456
sorghum,337.0,460.0731546,0.37384303700000004,0.74134181,0.98353742,138.0,113.0,61.0,16.26345597
sorghum,182.0,445.0609632,0.353948869,0.784525939,0.985026017,135.0,112.0,57.0,14.86606875
pearl_millet,332.0,622.2396752000001,0.641267039,0.526299694,0.717831074,103.0,87.0,52.0,0.7071067809999999
sorghum,230.0,478.8010774,0.392503462,0.714625104,0.977991354,145.0,125.0,75.0,11.40175425
