Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,Red,Green,Blue,Point Polygon Test
sorghum,89,437.54624366760254,0.3388156569062377,0.7484491315136477,0.9695954995981784,124,97,52,18.973665961010283
sorghum,90,460.7594462633133,0.4305689675406638,0.7447131745260087,0.975949669507048,120,102,58,12.041594578792296
sorghum,91,417.44573855400085,0.5237463629081165,0.7195652173913043,0.9777996598334976,138,111,61,9.192388155425117
sorghum,92,394.4335457086563,0.3275220612182633,0.7487532175032175,0.9730817478569936,115,95,46,17.029386365926403
sorghum,93,457.445739030838,0.5234381587557325,0.7509142857142858,0.9792831060436694,142,119,66,17.677669529663692
sorghum,94,481.0020878314972,0.6519545487154446,0.6943034866590276,0.9645252984650371,125,102,57,3.1622776601683795
sorghum,95,410.1320301294327,0.4656834982101668,0.7198775239986759,0.9627580100713852,103,80,48,18.439088914585774
sorghum,96,450.51680636405945,0.3590484812494661,0.7529430894308943,0.9702061682869596,119,96,43,14.866068747318506
sorghum,97,470.27416455745697,0.3263201546388356,0.767008547008547,0.9787682687413656,145,119,61,14.142135623730953
sorghum,98,456.85995197296137,0.5530029415713709,0.6996295534060506,0.9565278559369724,108,87,46,5.0
sorghum,99,472.0731544494629,0.22755109713679214,0.726545842217484,0.9732238486254908,126,106,65,6.4031242374328485
sorghum,100,441.88938987255096,0.32046486896498266,0.7488193624557261,0.9721548090433004,122,103,54,16.643316977093242
sorghum,101,447.203097820282,0.3609185223652659,0.75153125,0.9777208602675124,121,98,50,16.1245154965971
sorghum,102,493.7300091981888,0.3695363588472052,0.7420474262579526,0.9728071687058418,128,107,60,13.0
sorghum,103,460.27416563034063,0.32672195303380736,0.7432134490836434,0.9678779721848364,113,88,41,14.849242404917495
sorghum,104,454.9604572057724,0.3671677440798292,0.7287157287157288,0.96,129,107,61,15.0
sorghum,105,473.7888842821121,0.4956884042469621,0.7588403950302645,0.9831802703539366,132,114,68,7.071067811865476
sorghum,106,500.943212389946,0.4507974147740117,0.7108085345311622,0.9478156702729008,120,95,51,2.23606797749979
sorghum,107,482.90158128738403,0.5265457774890111,0.7004251062765692,0.9767409422185026,128,109,63,11.401754250991381
sorghum,108,471.83051574230194,0.3890742468618759,0.7383394570320474,0.9816473302123616,133,111,61,8.48528137423857
sorghum,109,432.3330404758453,0.4818833068907573,0.7666806840482198,0.9652342715962234,149,124,66,16.278820596099706
sorghum,110,512.4579305648804,0.4515868659513877,0.7327612863327149,0.9579262952233376,150,126,78,10.816653826391967
sorghum,111,446.3746705055237,0.32192151813585324,0.7415861081274615,0.9791601008509296,115,95,54,14.422205101855955
sorghum,112,433.16146755218506,0.5290490006661639,0.7693756337824135,0.9732007879426452,149,121,66,28.0
