Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,BLue,Green,Red,Point Polygon Test
sorghum,125,455.5878732204437,0.5313448169019632,0.7342702702702703,0.981680216802168,45,79,92,7.0710678118654755
sorghum,126,511.87214493751526,0.5129487743210276,0.7305697103245651,0.9785101607894979,36,66,78,7.810249675906654
sorghum,127,439.10259234905243,0.4791932179025666,0.7620168067226891,0.9705038743096879,44,75,90,12.727922061357855
sorghum,128,488.3157956600189,0.5106824340134303,0.7253243872684928,0.9626862925482981,49,76,88,9.433981132056603
sorghum,129,536.9432119131088,0.19461458306544563,0.7457959376476145,0.9650082513293808,44,71,84,11.704699910719626
sorghum,130,413.98989474773407,0.4005104804565328,0.7472527472527473,0.9741116988905014,37,72,87,8.94427190999916
sorghum,131,488.80107605457306,0.4248910557675953,0.7271962706651288,0.9815451478982875,34,71,88,2.8284271247461903
sorghum,132,417.1614683866501,0.43819867812718993,0.7742937853107345,0.9745777777777778,50,91,109,19.72308292331602
sorghum,133,447.5878738164902,0.3492276364178634,0.7695451843043996,0.9619582888197316,32,58,71,19.72308292331602
sorghum,134,443.7888835668564,0.5046858806484683,0.7060827250608273,0.9752163320171385,57,87,100,15.556349186104045
sorghum,135,460.9015818834305,0.4802349786131662,0.7398373983739838,0.9775425213093061,44,76,88,16.1245154965971
sorghum,136,466.80107712745667,0.4631736378956186,0.7256704283460745,0.9743391307889699,33,64,75,12.727922061357855
sorghum,137,482.5584360361099,0.28582544515851227,0.7214543269230769,0.9634831460674157,40,68,85,14.212670403551895
sorghum,138,495.24472880363464,0.42131015270834776,0.7427563618039809,0.97632058287796,40,71,86,15.556349186104045
sorghum,139,476.75944662094116,0.3012922871071579,0.7106199770378875,0.9635712617731766,61,95,111,17.67766952966369
sorghum,140,468.7594475746155,0.42363604828631446,0.738508570804673,0.9761166029295043,47,74,88,16.97056274847714
sorghum,141,446.6173117160797,0.6210585589271338,0.7588620013080445,0.9718976420823386,40,66,77,15.652475842498529
sorghum,142,483.2447279691696,0.39205286873901796,0.7536507610037022,0.9825702218944828,55,87,100,8.48528137423857
sorghum,143,476.1320301294327,0.6037760443135902,0.7439818082019917,0.9436570689740912,31,62,76,8.602325267042627
sorghum,144,449.68837904930115,0.580121223316486,0.7406378836463582,0.9813360646409468,43,71,81,17.804493814764857
sorghum,145,469.3452328443527,0.40189317202471764,0.7686549499970412,0.9770949300436287,41,71,84,10.606601717798213
sorghum,146,394.5756815671921,0.3757890638992778,0.7493539039862166,0.9748853795211411,41,76,91,16.278820596099706
sorghum,147,512.3574253320694,0.31324590578829103,0.7226190476190476,0.9721721721721722,38,67,80,12.206555615733702
sorghum,148,474.8599520921707,0.46394624811410495,0.7586581897272879,0.9726512226512226,50,84,99,22.360679774997898
sorghum,149,507.20309805870056,0.3485188737055052,0.7973090277777778,0.9782295451697782,51,85,100,18.110770276274835
sorghum,150,571.570628285408,0.42982952964945076,0.6553861788617886,0.9001116590676468,34,61,78,3.1622776601683795
sorghum,151,431.0609623193741,0.5167215149238712,0.765860607324022,0.9732868244436594,37,69,82,12.041594578792296
sorghum,152,513.9726496934891,0.5402704787165763,0.7284149263950702,0.9443852640923214,31,56,68,13.416407864998739
sorghum,153,531.4284930229187,0.4747829850033805,0.6993805652342238,0.9560730351944959,44,77,94,8.94427190999916
sorghum,154,464.17366075515747,0.4831117258901628,0.7357000234907212,0.9709358651424143,46,81,102,16.278820596099706
