Type,Contour Id,Perimeter,Eccentricity,Extent,Solidity,BLue,Green,Red,Point Polygon Test
pearl_millet,29,282.2497800588608,0.3073448501334602,0.6503044140030442,0.9200538358008076,26,47,57,19.091883092036785
pearl_millet,30,402.9604572057724,0.8407186812467051,0.6266992266992267,0.9551516655294336,49,73,82,23.769728648009426
pearl_millet,31,409.64674937725067,0.6705417052359649,0.6079370509750257,0.8513934360776172,38,62,75,13.892443989449804
pearl_millet,32,323.07820773124695,0.7631347105299923,0.6764705882352942,0.9358651424142608,35,60,71,30.0
pearl_millet,33,320.291410446167,0.5981143651054083,0.6779411764705883,0.9101149692254094,28,44,49,24.596747752497688
pearl_millet,34,351.5046137571335,0.806316925664409,0.6655604719764012,0.9304123711340206,43,60,68,13.601470508735444
pearl_millet,35,286.3919163942337,0.6455233841739499,0.6249026024622097,0.9421992481203008,34,56,63,28.319604517012593
pearl_millet,36,259.96550965309143,0.4208265811495323,0.7544144144144144,0.9705609643022717,34,58,66,23.53720459187964
pearl_millet,37,286.24978017807007,0.47206243709673007,0.6898752127056155,0.9570178026949936,36,64,73,21.095023109728988
pearl_millet,38,303.2203427553177,0.88053181077956,0.5250849229161223,0.923271307144498,37,63,73,22.847319317591726
pearl_millet,39,326.291410446167,0.6977015826060923,0.6691569484936832,0.9548448604610851,29,54,65,21.633307652783937
pearl_millet,40,389.0609618425369,0.8779847954532536,0.5171343537414966,0.9134810364250845,35,51,56,-4.242640687119285
pearl_millet,41,304.39191567897797,0.4597173485527037,0.7299192196311538,0.9462556806955147,31,59,69,21.587033144922902
pearl_millet,42,333.90663480758667,0.7244868615230502,0.7373737373737373,0.951442422315823,35,60,67,18.35755975068582
pearl_millet,43,390.67618668079376,0.75130797681477,0.6344866071428571,0.8719325153374233,59,90,101,30.364452901377952
pearl_millet,44,237.62236404418945,0.7768227876936532,0.6710208030962748,0.9445011916922029,32,43,49,18.601075237738275
pearl_millet,45,388.3330410718918,0.7330041789518343,0.6544267645858833,0.9275697556744253,56,78,84,16.97056274847714
pearl_millet,46,446.031525015831,0.7912789216402254,0.5476341093117408,0.783155418852904,42,65,77,3.1622776601683795
pearl_millet,47,341.2619732618332,0.8447009877048446,0.6006279267773521,0.9387059214903526,36,57,64,14.142135623730951
pearl_millet,48,369.0193326473236,0.7717162240778042,0.6480993188310261,0.9345690747782003,33,52,64,19.209372712298546
pearl_millet,49,446.173660159111,0.8184120508026578,0.6872273275782048,0.8953319627524489,52,69,73,27.16615541441225
pearl_millet,50,366.8771970272064,0.725627766600419,0.6864882365637816,0.9350286638247832,41,61,69,10.295630140987
pearl_millet,51,341.705624461174,0.6151380541055651,0.7087640449438202,0.9507159005275057,34,63,74,29.120439557122072
pearl_millet,52,606.3990566730499,0.7885855323273911,0.5941748645959987,0.7723974423449961,38,64,78,11.704699910719626
pearl_millet,53,357.0193326473236,0.6673413878152339,0.7172072567344695,0.9459106728538283,37,68,81,14.7648230602334
pearl_millet,54,351.5046137571335,0.848481764745747,0.5617025620087782,0.9339782756279701,39,67,77,24.839484696748443
pearl_millet,55,405.2030974626541,0.7689558009034507,0.6178209459459459,0.9164752557945292,39,68,82,22.20360331117452
pearl_millet,56,330.29141092300415,0.794502442870238,0.6536158192090396,0.9524946484439322,46,69,77,13.038404810405298
pearl_millet,57,404.1320298910141,0.8547286829959082,0.591847954134925,0.9523568810817642,47,89,105,28.600699292150182
pearl_millet,58,344.19090509414673,0.44794953047252245,0.6860948191593352,0.9393559180259305,36,67,79,17.804493814764857
pearl_millet,59,423.7888845205307,0.7459083345862693,0.6430619266055045,0.9181334424887434,26,44,51,-0.0
pearl_millet,60,322.6345565319061,0.5363658858723261,0.6310416666666666,0.9207619819637248,33,60,73,21.633307652783937
pearl_millet,61,365.362478017807,0.655063022589668,0.699958686221855,0.9492926180137274,54,83,94,21.93171219946131
pearl_millet,62,413.44573867321014,0.8014460320810818,0.6390506045678459,0.8781538461538462,39,75,89,28.284271247461902
pearl_millet,63,380.5756812095642,0.761727763297556,0.6368518518518519,0.8897033459813729,34,70,86,24.041630560342615
pearl_millet,64,342.53405117988586,0.5604300565387844,0.717612293144208,0.9400743264168473,37,61,72,17.67766952966369
pearl_millet,65,519.8721442222595,0.9049600923223077,0.4896505376344086,0.8191579065714768,48,77,88,4.949747468305833
pearl_millet,66,286.24978017807007,0.47206243709673007,0.6898752127056155,0.9570178026949936,37,66,75,27.202941017470888
pearl_millet,67,446.1736605167389,0.7980943126593093,0.5267610619469026,0.8618173394336016,51,92,107,26.40075756488817
pearl_millet,68,369.7472542524338,0.5853800174545819,0.6860846560846561,0.9477415582517176,41,70,81,21.095023109728988
pearl_millet,69,303.32084822654724,0.8462855129463857,0.6563727801351563,0.9311113588228737,31,45,52,24.186773244895647
pearl_millet,70,310.6345570087433,0.4200844027462469,0.7093573988735279,0.9649978232477144,38,70,84,23.33452377915607
pearl_millet,71,371.2619729042053,0.8114734853453729,0.5754815945069617,0.9179342865835108,28,50,60,24.08318915758459
pearl_millet,72,369.2030973434448,0.7862741045850681,0.5952131376659678,0.9143853998926462,27,43,50,11.40175425099138
pearl_millet,73,498.70057129859924,0.6545549887512256,0.5592592592592592,0.7515358892604401,39,64,74,14.7648230602334
pearl_millet,74,424.0315247774124,0.29552622373260046,0.6586043761088114,0.8809523809523809,38,68,80,17.4928556845359
pearl_millet,75,390.37467098236084,0.7771135475186521,0.6335348506401138,0.8904531822725759,40,70,83,9.219544457292887
pearl_millet,76,445.1442223787308,0.7288391026654241,0.601907101907102,0.8494881109643329,46,70,82,14.866068747318506
pearl_millet,77,349.84775936603546,0.816530618885656,0.6361997226074896,0.9183183183183183,30,55,67,21.213203435596427
pearl_millet,78,313.5634889602661,0.7777025042028186,0.5922760367204811,0.8951082406410716,31,52,63,25.495097567963924
pearl_millet,79,358.39191579818726,0.7794560511301882,0.6867798665858096,0.9646507666098807,35,65,78,29.017236257093817
